"site_no","EXC_Prob","Estimate","Variance","Conf_Low","Conf_Up","K-Value"
"06329350.00",0.95,0,0.0192,0,0,-1.658
"06329350.00",0.9,3.1,0.0123,1.6,4.5,-1.287
"06329350.00",0.8,5.4,0.0082,3.4,7.4,-0.8392
"06329350.00",0.7,7.9,0.0069,5.5,10.8,-0.5186
"06329350.00",0.6667,8.8,0.0068,6.2,12,-0.4244
"06329350.00",0.6,10.9,0.0066,7.9,14.9,-0.246
"06329350.00",0.5704,11.9,0.0065,8.7,16.3,-0.1698
"06329350.00",0.5,14.8,0.0065,10.8,20.2,0.0079
"06329350.00",0.4292,18.3,0.0067,13.4,25.1,0.186
"06329350.00",0.4,20,0.0068,14.7,27.6,0.2607
"06329350.00",0.3,27.6,0.0073,20.2,38.6,0.53
"06329350.00",0.2,40.1,0.0083,29.1,58.2,0.8438
"06329350.00",0.1,67.3,0.0114,47.4,107.1,1.276
"06329350.00",0.05,102.9,0.0164,69.4,187.1,1.631
"06329350.00",0.04,116.4,0.0185,77.3,222.4,1.734
"06329350.00",0.025,148.4,0.0236,94.8,317.4,1.938
"06329350.00",0.02,165.4,0.0265,103.7,374.3,2.028
"06329350.00",0.01,226.6,0.0371,132.9,616.4,2.292
"06329350.00",0.005,301.8,0.0504,164.6,998,2.532
"06329350.00",0.002,426.7,0.0722,209.8,1849,2.821
"06329510.00",0.995,0,0.594,0,0,-2.497
"06329510.00",0.99,0,0.4514,0,0,-2.265
"06329510.00",0.98,0,0.3294,0,0,-2.009
"06329510.00",0.975,0,0.2946,0,0,-1.92
"06329510.00",0.96,0,0.2284,0,0,-1.722
"06329510.00",0.95,0,0.2004,0,0,-1.621
"06329510.00",0.9,0,0.1274,0,0,-1.272
"06329510.00",0.8,1.1,0.076,0.1,2.3,-0.8454
"06329510.00",0.7,2.2,0.0564,0.5,4.7,-0.5343
"06329510.00",0.6667,2.8,0.0526,0.7,5.9,-0.442
"06329510.00",0.6,4.1,0.0475,1.3,9,-0.2663
"06329510.00",0.5704,4.9,0.046,1.7,10.8,-0.1908
"06329510.00",0.5,7.3,0.044,3,16.6,-0.014
"06329510.00",0.4292,11,0.0437,4.8,25.8,0.1648
"06329510.00",0.4,13.1,0.044,5.8,31,0.2402
"06329510.00",0.3,24.3,0.0474,11,62.1,0.5141
"06329510.00",0.2,50.8,0.0559,22.1,147.6,0.8373
"06329510.00",0.1,142.1,0.0777,56.3,564,1.29
"06329510.00",0.05,335.6,0.109,119,1962,1.668
"06329510.00",0.04,431.8,0.1213,147.1,2893,1.779
"06329510.00",0.025,712.2,0.151,221.7,6452,1.999
"06329510.00",0.02,892.1,0.1669,265.3,9385,2.098
"06329510.00",0.01,1722,0.2244,440.2,29510,2.388
"06329510.00",0.005,3157,0.2944,685.8,91030,2.654
"06329510.00",0.002,6617,0.4073,1144,397100,2.98
"06329570.00",0.995,0,0.8617,0,0,-3.135
"06329570.00",0.99,0,0.6404,0,0,-2.757
"06329570.00",0.98,0,0.4551,0,0,-2.361
"06329570.00",0.975,0,0.403,0,0,-2.228
"06329570.00",0.96,0,0.3049,0,0,-1.94
"06329570.00",0.95,0,0.2639,0,0,-1.798
"06329570.00",0.9,0,0.1588,0,0,-1.329
"06329570.00",0.8,2.5,0.0863,0.3,5.8,-0.7992
"06329570.00",0.7,6.7,0.0582,1.6,14.2,-0.4431
"06329570.00",0.6667,8.8,0.0526,2.4,18.4,-0.3421
"06329570.00",0.6,14.6,0.0444,5,29.9,-0.1554
"06329570.00",0.5704,18,0.0417,6.7,36.7,-0.0775
"06329570.00",0.5,29.2,0.037,12.4,58.8,0.0999
"06329570.00",0.4292,46.5,0.034,21.5,93.3,0.272
"06329570.00",0.4,56.3,0.0331,26.7,112.8,0.3424
"06329570.00",0.3,109.5,0.0316,54.6,221.1,0.5878
"06329570.00",0.2,227.4,0.0325,115.5,479.5,0.8572
"06329570.00",0.1,576,0.0384,289.2,1399,1.2
"06329570.00",0.05,1156,0.0493,551.9,3367,1.457
"06329570.00",0.04,1400,0.0538,652.3,4337,1.527
"06329570.00",0.025,2013,0.0652,882.7,7126,1.661
"06329570.00",0.02,2354,0.0714,999.1,8891,1.719
"06329570.00",0.01,3628,0.094,1378,16910,1.878
"06329570.00",0.005,5242,0.1216,1768,30590,2.014
"06329570.00",0.002,7912,0.165,2277,63760,2.166
