NU,SIGMA2,FREQ,TAU,SKEW,XMAX,PROBUT,P_XP,N_VARREG,HERL_factor,JERL_factor
0.1,0.25,0.99,1.48352631,-1.15,0.741763155,0.99,0.99,3,0.163367264,0.203975124
0.1,0.25,0.99,1.553043341,-1.05,0.77652167,0.99,0.99,3,0.168454667,0.209521744
0.1,0.25,0.99,1.624042418,-0.95,0.812021209,0.99,0.99,3,0.173077505,0.213480296
0.1,0.25,0.99,1.696240396,-0.85,0.848120198,0.99,0.99,3,0.177277319,0.215972858
0.1,0.25,0.99,1.76937112,-0.75,0.88468556,0.99,0.99,3,0.181095734,0.217154957
0.1,0.25,0.99,1.843189176,-0.65,0.921594588,0.99,0.99,3,0.184572862,0.21720558
0.1,0.25,0.99,1.91747145,-0.55,0.958735725,0.99,0.99,3,0.187745551,0.216313223
0.1,0.25,0.99,1.992017086,-0.45,0.996008543,0.99,0.99,3,0.19064842,0.214664316
0.1,0.25,0.99,2.066646401,-0.35,1.0333232,0.99,0.99,3,0.193312899,0.212422219
0.1,0.25,0.99,2.141199201,-0.25,1.0705996,0.99,0.99,3,0.195766992,0.209707243
0.1,0.25,0.99,2.215532818,-0.15,1.107766409,0.99,0.99,3,0.198034944,0.206580268
0.1,0.25,0.99,2.436013014,0.15,1.218006507,0.99,0.99,3,0.203976259,0.194738608
0.1,0.25,0.99,2.508325192,0.25,1.254162596,0.99,0.99,3,0.205726533,0.189913602
0.1,0.25,0.99,2.579901085,0.35,1.289950543,0.99,0.99,3,0.207396089,0.184736958
0.1,0.25,0.99,2.650665388,0.45,1.325332694,0.99,0.99,3,0.20899907,0.179328514
0.1,0.25,0.99,2.720549363,0.55,1.360274682,0.99,0.99,3,0.210549403,0.173831815
0.1,0.25,0.99,2.789490024,0.65,1.394745012,0.99,0.99,3,0.212060662,0.168386751
0.1,0.25,0.99,2.857429488,0.75,1.428714744,0.99,0.99,3,0.21354615,0.163111272
0.1,0.25,0.99,2.924314485,0.85,1.462157242,0.99,0.99,3,0.215018122,0.158092765
0.1,0.25,0.99,2.990096007,0.95,1.495048004,0.99,0.99,3,0.216488354,0.153389352
0.1,0.25,0.99,3.05472908,1.05,1.52736454,0.99,0.99,3,0.217968004,0.149034578
0.1,0.25,0.99,3.11817263,1.15,1.559086315,0.99,0.99,3,0.219467695,0.145043351
0.1,0.25,0.99,3.180389424,1.25,1.590194712,0.99,0.99,3,0.220997502,0.141417491
0.1,0.25,0.99,3.24134606,1.35,1.62067303,0.99,0.99,3,0.222566893,0.138150189
0.1,0.25,0.999,1.437275587,-1.35,0.718637794,0.999,0.99,3,0.145961343,0.182426091
0.1,0.25,0.999,1.52872493,-1.25,0.764362465,0.999,0.99,3,0.149742589,0.188907751
0.1,0.25,0.999,1.626801488,-1.15,0.813400744,0.999,0.99,3,0.153062791,0.194147657
0.1,0.25,0.999,1.73123808,-1.05,0.86561904,0.999,0.99,3,0.156117922,0.198427904
0.1,0.25,0.999,1.841645999,-0.95,0.920823,0.999,0.99,3,0.159048029,0.201915611
0.1,0.25,0.999,1.957547912,-0.85,0.978773956,0.999,0.99,3,0.161942172,0.204663358
0.1,0.25,0.999,2.078412669,-0.75,1.039206334,0.999,0.99,3,0.164849524,0.206626826
0.1,0.25,0.999,2.203686924,-0.65,1.101843462,0.999,0.99,3,0.16779077,0.207689655
0.1,0.25,0.999,2.332820533,-0.55,1.166410267,0.999,0.99,3,0.170767771,0.207696383
0.1,0.25,0.999,2.465284775,-0.45,1.232642387,0.999,0.99,3,0.173770734,0.206495997
0.1,0.25,0.999,2.600583891,-0.35,1.300291945,0.999,0.99,3,0.176783502,0.204000959
0.1,0.25,0.999,2.738261206,-0.25,1.369130603,0.999,0.99,3,0.179787409,0.200251704
0.1,0.25,0.999,2.877901268,-0.15,1.438950634,0.999,0.99,3,0.182756615,0.195442589
0.1,0.25,0.999,3.305039667,0.15,1.652519833,0.999,0.99,3,0.19130676,0.178800362
0.1,0.25,0.999,3.449152333,0.25,1.724576167,0.999,0.99,3,0.193987716,0.1739109
0.1,0.25,0.999,3.593706756,0.35,1.796853378,0.999,0.99,3,0.196552238,0.169759899
0.1,0.25,0.999,3.738487874,0.45,1.869243937,0.999,0.99,3,0.198998752,0.16640702
0.1,0.25,0.999,3.883302824,0.55,1.941651412,0.999,0.99,3,0.201318551,0.163798946
0.1,0.25,0.999,4.027978249,0.65,2.013989124,0.999,0.99,3,0.20350593,0.161830424
0.1,0.25,0.999,4.172357943,0.75,2.086178972,0.999,0.99,3,0.205556948,0.160378555
0.1,0.25,0.999,4.316300844,0.85,2.158150422,0.999,0.99,3,0.207469634,0.159323874
0.1,0.25,0.999,4.459679341,0.95,2.229839671,0.999,0.99,3,0.209243123,0.158559908
0.1,0.25,0.999,4.602377881,1.05,2.30118894,0.999,0.99,3,0.210878236,0.157997402
0.1,0.25,0.999,4.74429182,1.15,2.37214591,0.999,0.99,3,0.212376903,0.157563616
0.1,0.25,0.999,4.885326494,1.25,2.442663247,0.999,0.99,3,0.213742195,0.157200792
0.1,0.25,0.999,5.025396461,1.35,2.51269823,0.999,0.99,3,0.214978182,0.156863957
0.1,0.5,0.8,0.835433233,-1.35,0.590740504,0.8,0.99,3,0.256992181,0.440160239
0.1,0.5,0.8,0.841162015,-1.25,0.594791365,0.8,0.99,3,0.261525484,0.436271883
0.1,0.5,0.8,0.846000204,-1.15,0.598212481,0.8,0.99,3,0.265840175,0.43045867
0.1,0.5,0.8,0.849956064,-1.05,0.601009696,0.8,0.99,3,0.269970608,0.422906893
0.1,0.5,0.8,0.853041018,-0.95,0.603191088,0.8,0.99,3,0.273948673,0.413823089
0.1,0.5,0.8,0.855268566,-0.85,0.604766203,0.8,0.99,3,0.277803673,0.403440148
0.1,0.5,0.8,0.856653369,-0.75,0.605745406,0.8,0.99,3,0.281562037,0.392023641
0.1,0.5,0.8,0.857210501,-0.65,0.606139358,0.8,0.99,3,0.28524779,0.379879284
0.1,0.5,0.8,0.856954903,-0.55,0.605958623,0.8,0.99,3,0.288882355,0.367355243
0.1,0.5,0.8,0.855900979,-0.45,0.605213386,0.8,0.99,3,0.292483393,0.354834728
0.1,0.5,0.8,0.854062337,-0.35,0.60391327,0.8,0.99,3,0.296069738,0.342731296
0.1,0.5,0.8,0.851451643,-0.25,0.602067231,0.8,0.99,3,0.299655943,0.331441687
0.1,0.5,0.8,0.848080556,-0.15,0.599683512,0.8,0.99,3,0.303323933,0.321450147
0.1,0.5,0.8,0.833506821,0.15,0.589378326,0.8,0.99,3,0.314029299,0.298898568
0.1,0.5,0.8,0.8271917,0.25,0.584912861,0.8,0.99,3,0.317982209,0.29450495
0.1,0.5,0.8,0.820161054,0.35,0.579941443,0.8,0.99,3,0.321790304,0.290628998
0.1,0.5,0.8,0.812422049,0.45,0.57446914,0.8,0.99,3,0.325670562,0.287420531
0.1,0.5,0.8,0.803981688,0.55,0.568500903,0.8,0.99,3,0.329622915,0.284671289
0.1,0.5,0.8,0.794847058,0.65,0.562041745,0.8,0.99,3,0.333656302,0.282258512
0.1,0.5,0.8,0.78502561,0.75,0.555096932,0.8,0.99,3,0.337774353,0.280113328
0.1,0.5,0.8,0.774525452,0.85,0.547672199,0.8,0.99,3,0.341981663,0.278214659
0.1,0.5,0.8,0.763355671,0.95,0.539773971,0.8,0.99,3,0.346281683,0.276567503
0.1,0.5,0.8,0.751526652,1.05,0.531409592,0.8,0.99,3,0.350677211,0.275189269
0.1,0.5,0.8,0.739050388,1.15,0.522587541,0.8,0.99,3,0.355169964,0.274099429
0.1,0.5,0.8,0.725940767,1.25,0.513317639,0.8,0.99,3,0.359760997,0.273314876
0.1,0.5,0.8,0.71221381,1.35,0.503611215,0.8,0.99,3,0.364450236,0.272846771
0.1,0.5,0.9,1.052871969,-1.35,0.744492909,0.9,0.99,3,0.199699356,0.311473127
0.1,0.5,0.9,1.075197193,-1.25,0.760279226,0.9,0.99,3,0.206328824,0.320693859
0.1,0.5,0.9,1.096769513,-1.15,0.77553316,0.9,0.99,3,0.212712144,0.328088822
0.1,0.5,0.9,1.117541459,-1.05,0.790221144,0.9,0.99,3,0.218877113,0.333597485
0.1,0.5,0.9,1.137475508,-0.95,0.804316645,0.9,0.99,3,0.224851189,0.337150775
0.1,0.5,0.9,1.156542569,-0.85,0.817799093,0.9,0.99,3,0.230660918,0.33867047
0.1,0.5,0.9,1.174720466,-0.75,0.830652808,0.9,0.99,3,0.236331147,0.33807513
0.1,0.5,0.9,1.191992507,-0.65,0.842865985,0.9,0.99,3,0.241885024,0.335300228
0.1,0.5,0.9,1.20834622,-0.55,0.854429806,0.9,0.99,3,0.2473438,0.330333246
0.1,0.5,0.9,1.223772277,-0.45,0.865337675,0.9,0.99,3,0.252726242,0.323263305
0.1,0.5,0.9,1.238263621,-0.35,0.875584603,0.9,0.99,3,0.258051032,0.314343667
0.1,0.5,0.9,1.251814769,-0.25,0.885166712,0.9,0.99,3,0.26333376,0.304021072
0.1,0.5,0.9,1.264421271,-0.15,0.894080855,0.9,0.99,3,0.268613884,0.29298273
0.1,0.5,0.9,1.296536239,0.15,0.916789566,0.9,0.99,3,0.284168034,0.261836815
0.1,0.5,0.9,1.305328467,0.25,0.923006611,0.9,0.99,3,0.289593992,0.25443198
0.1,0.5,0.9,1.313158747,0.35,0.928543455,0.9,0.99,3,0.294886035,0.248360704
0.1,0.5,0.9,1.320023702,0.45,0.933397711,0.9,0.99,3,0.300230426,0.24387005
0.1,0.5,0.9,1.325919997,0.55,0.937567021,0.9,0.99,3,0.305620397,0.24076436
0.1,0.5,0.9,1.33084446,0.65,0.941049142,0.9,0.99,3,0.311066688,0.238847324
0.1,0.5,0.9,1.334794251,0.75,0.943842067,0.9,0.99,3,0.316577182,0.23792662
0.1,0.5,0.9,1.337767079,0.85,0.945944173,0.9,0.99,3,0.322156837,0.237833391
0.1,0.5,0.9,1.33976145,0.95,0.947354406,0.9,0.99,3,0.327811663,0.238433594
0.1,0.5,0.9,1.340776949,1.05,0.948072473,0.9,0.99,3,0.333545049,0.239620498
0.1,0.5,0.9,1.340814533,1.15,0.948099049,0.9,0.99,3,0.339359443,0.241312164
0.1,0.5,0.9,1.339876809,1.25,0.947435978,0.9,0.99,3,0.345255649,0.243444944
0.1,0.5,0.9,1.337968302,1.35,0.946086459,0.9,0.99,3,0.35123335,0.245969334
0.1,0.5,0.99,1.350114404,-1.35,0.95467505,0.99,0.99,3,0.151654556,0.187867101
0.1,0.5,0.99,1.415785025,-1.25,1.001111192,0.99,0.99,3,0.157777104,0.196763168
0.1,0.5,0.99,1.48352631,-1.15,1.049011514,0.99,0.99,3,0.163367267,0.203975124
0.1,0.5,0.99,1.553043341,-1.05,1.098167478,0.99,0.99,3,0.168454667,0.209521744
0.1,0.5,0.99,1.624042418,-0.95,1.148371406,0.99,0.99,3,0.173077511,0.213480296
0.1,0.5,0.99,1.696240396,-0.85,1.199423086,0.99,0.99,3,0.177277323,0.215972858
0.1,0.5,0.99,1.76937112,-0.75,1.251134317,0.99,0.99,3,0.181095735,0.217154957
0.1,0.5,0.99,1.843189176,-0.65,1.303331566,0.99,0.99,3,0.184572864,0.21720558
0.1,0.5,0.99,1.91747145,-0.55,1.355857065,0.99,0.99,3,0.187745547,0.216313223
0.1,0.5,0.99,1.992017086,-0.45,1.40856879,0.99,0.99,3,0.190648426,0.214664316
0.1,0.5,0.99,2.066646401,-0.35,1.461339684,0.99,0.99,3,0.193312902,0.212422219
0.1,0.5,0.99,2.141199201,-0.25,1.514056475,0.99,0.99,3,0.195766994,0.209707243
