NU,SIGMA2,FREQ,TAU,SKEW,XMAX,PROBUT,P_XP,N_VARREG,HERL_factor,JERL_factor
0.1,0.75,0.99,1.48352631,-1.15,1.284771471,0.99,0.99,3,0.163367264,0.203975124
0.1,0.75,0.99,1.553043341,-1.05,1.344974986,0.99,0.99,3,0.168454666,0.209521744
0.1,0.75,0.99,1.624042418,-0.95,1.406461991,0.99,0.99,3,0.173077509,0.213480296
0.1,0.75,0.99,1.696240396,-0.85,1.468987274,0.99,0.99,3,0.17727732,0.215972858
0.1,0.75,0.99,1.76937112,-0.75,1.532320338,0.99,0.99,3,0.181095735,0.217154957
0.1,0.75,0.99,1.843189176,-0.65,1.596248651,0.99,0.99,3,0.184572861,0.21720558
0.1,0.75,0.99,1.91747145,-0.55,1.660578987,0.99,0.99,3,0.187745548,0.216313223
0.1,0.75,0.99,1.992017086,-0.45,1.725137401,0.99,0.99,3,0.190648422,0.214664316
0.1,0.75,0.99,2.066646401,-0.35,1.789768284,0.99,0.99,3,0.193312899,0.212422219
0.1,0.75,0.99,2.141199201,-0.25,1.854332902,0.99,0.99,3,0.195766994,0.209707243
0.1,0.75,0.99,2.215532818,-0.15,1.918707703,0.99,0.99,3,0.198034945,0.206580268
0.1,0.75,0.99,2.436013014,0.15,2.109649154,0.99,0.99,3,0.203976263,0.194738608
0.1,0.75,0.99,2.508325192,0.25,2.172273337,0.99,0.99,3,0.205726537,0.189913602
0.1,0.75,0.99,2.579901085,0.35,2.234259879,0.99,0.99,3,0.207396093,0.184736958
0.1,0.75,0.99,2.650665388,0.45,2.295543563,0.99,0.99,3,0.208999066,0.179328514
0.1,0.75,0.99,2.720549363,0.55,2.356064861,0.99,0.99,3,0.210549405,0.173831815
0.1,0.75,0.99,2.789490024,0.65,2.415769224,0.99,0.99,3,0.212060661,0.168386751
0.1,0.75,0.99,2.857429488,0.75,2.474606526,0.99,0.99,3,0.213546146,0.163111272
0.1,0.75,0.99,2.924314485,0.85,2.532530632,0.99,0.99,3,0.215018123,0.158092765
0.1,0.75,0.99,2.990096007,0.95,2.589499102,0.99,0.99,3,0.216488351,0.153389352
0.1,0.75,0.99,3.05472908,1.05,2.645472985,0.99,0.99,3,0.217968005,0.149034578
0.1,0.75,0.99,3.11817263,1.15,2.700416711,0.99,0.99,3,0.219467695,0.145043351
0.1,0.75,0.99,3.180389424,1.25,2.754298035,0.99,0.99,3,0.220997497,0.141417491
0.1,0.75,0.99,3.24134606,1.35,2.807088031,0.99,0.99,3,0.222566894,0.138150189
0.1,0.75,0.999,1.437275587,-1.35,1.244717171,0.999,0.99,3,0.145961341,0.182426091
0.1,0.75,0.999,1.52872493,-1.25,1.323914625,0.999,0.99,3,0.149742591,0.188907751
0.1,0.75,0.999,1.626801488,-1.15,1.408851416,0.999,0.99,3,0.15306279,0.194147657
0.1,0.75,0.999,1.73123808,-1.05,1.499296158,0.999,0.99,3,0.156117916,0.198427904
0.1,0.75,0.999,1.841645999,-0.95,1.59491222,0.999,0.99,3,0.159048026,0.201915611
0.1,0.75,0.999,1.957547912,-0.85,1.695286221,0.999,0.99,3,0.161942175,0.204663358
0.1,0.75,0.999,2.078412669,-0.75,1.79995817,0.999,0.99,3,0.164849526,0.206626826
0.1,0.75,0.999,2.203686924,-0.65,1.908448858,0.999,0.99,3,0.167790773,0.207689655
0.1,0.75,0.999,2.332820533,-0.55,2.020281844,0.999,0.99,3,0.17076777,0.207696383
0.1,0.75,0.999,2.465284775,-0.45,2.134999243,0.999,0.99,3,0.173770735,0.206495997
0.1,0.75,0.999,2.600583891,-0.35,2.252171714,0.999,0.99,3,0.176783502,0.204000959
0.1,0.75,0.999,2.738261206,-0.25,2.371403767,0.999,0.99,3,0.179787407,0.200251704
0.1,0.75,0.999,2.877901268,-0.15,2.492335607,0.999,0.99,3,0.182756615,0.195442589
0.1,0.75,0.999,3.305039667,0.15,2.862248312,0.999,0.99,3,0.191306758,0.178800362
0.1,0.75,0.999,3.449152333,0.25,2.987053542,0.999,0.99,3,0.193987714,0.1739109
0.1,0.75,0.999,3.593706756,0.35,3.112241345,0.999,0.99,3,0.196552235,0.169759899
0.1,0.75,0.999,3.738487874,0.45,3.23762547,0.999,0.99,3,0.198998748,0.16640702
0.1,0.75,0.999,3.883302824,0.55,3.363038896,0.999,0.99,3,0.201318552,0.163798946
0.1,0.75,0.999,4.027978249,0.65,3.488331489,0.999,0.99,3,0.203505938,0.161830424
0.1,0.75,0.999,4.172357943,0.75,3.613367973,0.999,0.99,3,0.205556944,0.160378555
0.1,0.75,0.999,4.316300844,0.85,3.738026181,0.999,0.99,3,0.207469635,0.159323874
0.1,0.75,0.999,4.459679341,0.95,3.862195602,0.999,0.99,3,0.209243121,0.158559908
0.1,0.75,0.999,4.602377881,1.05,3.985776163,0.999,0.99,3,0.210878239,0.157997402
0.1,0.75,0.999,4.74429182,1.15,4.108677239,0.999,0.99,3,0.2123769,0.157563616
0.1,0.75,0.999,4.885326494,1.25,4.23081685,0.999,0.99,3,0.213742195,0.157200792
0.1,0.75,0.999,5.025396461,1.35,4.352120999,0.999,0.99,3,0.214978186,0.156863957
