"","site_no","peak_WY","peak_va","plot_pos"
"1024","06329350.00",2019,131,0.0424
"1025","06329350.00",2012,96,0.0636
"1026","06329350.00",1994,74,0.0848
"1027","06329350.00",2001,73,0.1061
"1028","06329350.00",2004,62,0.1273
"1029","06329350.00",2009,51,0.1485
"1030","06329350.00",1997,50,0.1697
"1031","06329350.00",1996,49,0.191
"1032","06329350.00",1998,38,0.2122
"1033","06329350.00",2015,30.3,0.2334
"1034","06329350.00",1978,30,0.2546
"1035","06329350.00",2011,27,0.2759
"1036","06329350.00",1979,26,0.3183
"1037","06329350.00",1995,26,0.2971
"1038","06329350.00",1976,22,0.3608
"1039","06329350.00",1987,22,0.3395
"1040","06329350.00",1999,20,0.4032
"1041","06329350.00",2002,20,0.382
"1042","06329350.00",2007,15,0.4244
"1043","06329350.00",2013,14.4,0.4457
"1044","06329350.00",2014,13.2,0.4669
"1045","06329350.00",1983,13,0.4881
"1046","06329350.00",1977,12,0.5942
"1047","06329350.00",1981,12,0.573
"1048","06329350.00",1988,12,0.5518
"1049","06329350.00",2003,12,0.5305
"1050","06329350.00",2006,12,0.5093
"1051","06329350.00",1975,11,0.6367
"1052","06329350.00",1985,11,0.6154
"1053","06329350.00",1974,9,0.6579
"1054","06329350.00",2005,8.9,0.6791
"1055","06329350.00",2010,8.4,0.7003
"1056","06329350.00",2017,8.2,0.7216
"1057","06329350.00",1984,7,0.7852
"1058","06329350.00",1990,7,0.764
"1059","06329350.00",1993,7,0.7428
"1060","06329350.00",1992,6,0.8065
"1061","06329350.00",1989,5,0.8489
"1062","06329350.00",1991,5,0.8277
"1063","06329350.00",1980,4,0.8701
"1064","06329350.00",2018,2.5,0.913
"1065","06329350.00",2016,0,0.9457
"1066","06329350.00",1982,0,0.9783
"1067","06329350.00",2000,0,0.9565
"1068","06329350.00",2008,0,0.9348
"1069","06329350.00",2016,3.9,0.9457
"1070","06329510.00",1991,1370,0.0333
"1071","06329510.00",1978,390,0.0666
"1072","06329510.00",1989,70,0.1
"1073","06329510.00",1995,60,0.1334
"1074","06329510.00",-1972,59,0.1667
"1075","06329510.00",1981,57,0.2399
"1076","06329510.00",1996,50,0.2799
"1077","06329510.00",1986,31,0.3199
"1078","06329510.00",1982,30,0.3599
"1079","06329510.00",1979,12,0.3999
"1080","06329510.00",1994,10,0.44
"1081","06329510.00",1975,7,0.48
"1082","06329510.00",1976,3,0.64
"1083","06329510.00",1985,3,0.6
"1084","06329510.00",1988,3,0.56
"1085","06329510.00",1993,3,0.52
"1086","06329510.00",1974,2,0.72
"1087","06329510.00",1987,2,0.68
"1088","06329510.00",1977,1,0.8401
"1089","06329510.00",1984,1,0.8001
"1090","06329510.00",1992,1,0.76
"1091","06329510.00",1980,0,0.9601
"1092","06329510.00",1983,0,0.9201
"1093","06329510.00",1990,0,0.8801
"1094","06329570.00",1997,3530,0.0232
"1095","06329570.00",1979,950,0.0465
"1096","06329570.00",1976,700,0.0697
"1097","06329570.00",1989,560,0.093
"1098","06329570.00",1986,395,0.1162
"1099","06329570.00",1972,325,0.1395
"1100","06329570.00",1982,295,0.1627
"1101","06329570.00",1975,260,0.186
"1102","06329570.00",2001,203,0.2093
"1103","06329570.00",1971,160,0.2325
"1104","06329570.00",1991,140,0.2558
"1105","06329570.00",2004,126,0.279
"1106","06329570.00",1966,120,0.3023
"1107","06329570.00",1967,115,0.3256
"1108","06329570.00",1965,100,0.3721
"1109","06329570.00",2003,100,0.3488
"1110","06329570.00",1996,82,0.3953
"1111","06329570.00",1995,73,0.4186
"1112","06329570.00",1969,45,0.4651
"1113","06329570.00",1983,45,0.4419
"1114","06329570.00",1993,43,0.4884
"1115","06329570.00",1994,32,0.5116
"1116","06329570.00",1999,22,0.5349
"1117","06329570.00",1963,20,0.5581
"1118","06329570.00",1964,15,0.5814
"1119","06329570.00",1998,14,0.6047
"1120","06329570.00",1973,13,0.6279
"1121","06329570.00",1968,10,0.6977
"1122","06329570.00",1970,10,0.6744
"1123","06329570.00",1977,10,0.6512
"1124","06329570.00",1974,6,0.721
"1125","06329570.00",1978,5,0.7442
"1126","06329570.00",2002,3.8,0.7675
"1127","06329570.00",1987,2,0.7907
"1128","06329570.00",1980,0,0.9768
"1129","06329570.00",1981,0,0.9535
"1130","06329570.00",1984,0,0.9303
"1131","06329570.00",1985,0,0.907
"1132","06329570.00",1988,0,0.8838
"1133","06329570.00",1990,0,0.8605
"1134","06329570.00",1992,0,0.8373
"1135","06329570.00",2000,0,0.814
